trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	46	345	36	111	0.560975609756098	0.292993630573248	0.273234200743494	0.599252720798435	glm.cross.weights.stats
1	43	325	56	114	0.434343434343434	0.273885350318471	0.315985130111524	0.563451861510942	glm.cross.stats
1	52	343	38	105	0.577777777777778	0.331210191082803	0.265799256505576	0.687847936205427	lda.stats
1	45	351	30	112	0.6	0.286624203821656	0.263940520446097	0.647182239162779	qda.stats
1	75	308	73	82	0.506756756756757	0.477707006369427	0.288104089219331	0.694033468746342	ridge.weight.stats
1	17	374	7	140	0.708333333333333	0.10828025477707	0.273234200743494	0.703562532390458	ridge.stats
1	86	298	83	71	0.50887573964497	0.547770700636943	0.286245353159851	0.700235718942776	lasso.weight.stats
1	26	369	12	131	0.684210526315789	0.165605095541401	0.265799256505576	0.698095859036729	lasso.stats
1	68	347	34	89	0.666666666666667	0.43312101910828	0.228624535315985	0.671941086981962	random.forest
1	69	340	41	88	0.627272727272727	0.439490445859873	0.239776951672863	0.665939448651721	random.forest.bag
1	34	362	19	123	0.641509433962264	0.21656050955414	0.263940520446097	0.694117057023922	gam
1	23	369	12	134	0.657142857142857	0.146496815286624	0.271375464684015	0.698981894779076	glm.boost
1	54	361	20	103	0.72972972972973	0.343949044585987	0.228624535315985	0.741628634000367	gam.boost
1	48	367	14	109	0.774193548387097	0.305732484076433	0.228624535315985	0.766705117274352	gbm.boost.depth4
1	44	366	15	113	0.745762711864407	0.280254777070064	0.237918215613383	0.755755052911378	gbm.boost.depth2
1	70	342	39	87	0.642201834862385	0.445859872611465	0.234200743494424	0.77026597789926	gbm.id1.cv3
1	71	342	39	86	0.645454545454546	0.452229299363057	0.232342007434944	0.770867813497835	gbm.id2.cv3
1	71	340	41	86	0.633928571428571	0.452229299363057	0.236059479553903	0.773876991490711	gbm.id3.cv3
1	71	342	39	86	0.645454545454546	0.452229299363057	0.232342007434944	0.774161191634483	gbm.id4.cv3
1	75	334	47	82	0.614754098360656	0.477707006369427	0.239776951672863	0.756156276643764	C5.0.boost
1	24	369	12	133	0.666666666666667	0.152866242038217	0.269516728624535	0.687847936205427	flex.disc.anyl
2	50	325	70	93	0.416666666666667	0.34965034965035	0.302973977695167	0.586217579888466	glm.cross.weights.stats
2	81	253	142	62	0.36322869955157	0.566433566433566	0.379182156133829	0.603469947773745	glm.cross.stats
2	42	356	39	101	0.518518518518518	0.293706293706294	0.260223048327137	0.732141276445072	lda.stats
2	40	367	28	103	0.588235294117647	0.27972027972028	0.243494423791822	0.678233159245816	qda.stats
2	70	328	67	73	0.510948905109489	0.48951048951049	0.260223048327137	0.74818093299106	ridge.weight.stats
2	19	388	7	124	0.730769230769231	0.132867132867133	0.243494423791822	0.753775338585465	ridge.stats
2	60	352	43	83	0.58252427184466	0.41958041958042	0.234200743494424	0.75913959458263	lasso.weight.stats
2	9	394	1	134	0.9	0.0629370629370629	0.25092936802974	0.756714171904043	lasso.stats
2	61	353	42	82	0.592233009708738	0.426573426573427	0.230483271375465	0.660122156324688	random.forest
2	68	343	52	75	0.566666666666667	0.475524475524476	0.236059479553903	0.671939452952111	random.forest.bag
2	31	378	17	112	0.645833333333333	0.216783216783217	0.239776951672863	0.747101000265556	gam
