trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	44	403	39	52	0.530120481927711	0.458333333333333	0.169144981412639	0.796026583710407	lda.stats
1	43	375	67	53	0.390909090909091	0.447916666666667	0.223048327137547	0.624033748114631	qda.stats
1	56	369	73	40	0.434108527131783	0.583333333333333	0.21003717472119	0.790582579185519	ridge.weight.stats
1	8	439	3	88	0.727272727272727	0.0833333333333333	0.169144981412639	0.803756598793362	ridge.stats
1	42	410	32	54	0.567567567567568	0.4375	0.159851301115242	0.813678355957767	lasso.weight.stats
1	4	441	1	92	0.8	0.0416666666666667	0.172862453531598	0.832178544494721	lasso.stats
1	40	423	19	56	0.677966101694915	0.416666666666667	0.139405204460966	0.68684012066365	random.forest
1	43	421	21	53	0.671875	0.447916666666667	0.137546468401487	0.700202677224736	random.forest.bag
1	24	422	20	72	0.545454545454545	0.25	0.171003717472119	0.780000942684768	gam
1	22	430	12	74	0.647058823529412	0.229166666666667	0.159851301115242	0.800787141779788	glm.boost
1	34	425	17	62	0.666666666666667	0.354166666666667	0.146840148698885	0.844339177978885	gam.boost
1	25	432	10	71	0.714285714285714	0.260416666666667	0.150557620817844	0.844339177978884	gbm.boost.depth2
1	21	433	9	75	0.7	0.21875	0.156133828996282	0.848074566365009	gbm.boost.depth4
1	43	419	23	53	0.651515151515151	0.447916666666667	0.141263940520446	0.845234728506788	gbm.id1.cv3
1	43	418	24	53	0.641791044776119	0.447916666666667	0.143122676579926	0.846978695324281	gbm.id2.cv3
1	43	418	24	53	0.641791044776119	0.447916666666667	0.143122676579926	0.847237933634993	gbm.id3.cv3
1	43	417	25	53	0.632352941176471	0.447916666666667	0.144981412639405	0.846530920060331	gbm.id4.cv3
1	38	405	37	58	0.506666666666667	0.395833333333333	0.176579925650558	0.770904034690799	C5.0.boost
1	24	425	17	72	0.585365853658537	0.25	0.16542750929368	0.796026583710407	flex.disc.anyl
2	34	411	35	58	0.492753623188406	0.369565217391304	0.172862453531598	0.788506531487617	lda.stats
2	31	394	52	61	0.373493975903614	0.33695652173913	0.21003717472119	0.673047865080912	qda.stats
2	49	386	60	43	0.44954128440367	0.532608695652174	0.191449814126394	0.789067069604207	ridge.weight.stats
2	14	438	8	78	0.636363636363636	0.152173913043478	0.159851301115242	0.807784168453885	ridge.stats
2	38	408	38	54	0.5	0.41304347826087	0.171003717472119	0.8402466367713	lasso.weight.stats
2	7	443	3	85	0.7	0.0760869565217391	0.163568773234201	0.854211347241174	lasso.stats
2	38	429	17	54	0.690909090909091	0.41304347826087	0.131970260223048	0.687463443166309	random.forest
2	43	424	22	49	0.661538461538462	0.467391304347826	0.131970260223048	0.709031975043868	random.forest.bag
2	17	433	13	75	0.566666666666667	0.184782608695652	0.163568773234201	0.778343731721581	gam
2	16	439	7	76	0.695652173913043	0.173913043478261	0.154275092936803	0.814437512185605	glm.boost
2	21	435	11	71	0.65625	0.228260869565217	0.152416356877323	0.865495223240391	gam.boost
2	7	444	2	85	0.777777777777778	0.0760869565217391	0.161710037174721	0.873086859036849	gbm.boost.depth2
2	13	444	2	79	0.866666666666667	0.141304347826087	0.150557620817844	0.872514135309025	gbm.boost.depth4
2	44	426	20	48	0.6875	0.478260869565217	0.12639405204461	0.882311366738155	gbm.id1.cv3
