trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	24	366	127	21	0.158940397350993	0.533333333333333	0.275092936802974	0.637863421230561	glm.cross.weights.stats
1	21	462	31	24	0.403846153846154	0.466666666666667	0.102230483271376	0.701893171061528	glm.cross.stats
1	35	436	57	10	0.380434782608696	0.777777777777778	0.12453531598513	0.909308091052518	lda.stats
1	33	451	42	12	0.44	0.733333333333333	0.100371747211896	0.898828036961914	qda.stats
1	36	438	55	9	0.395604395604396	0.8	0.118959107806691	0.926391706107734	ridge.weight.stats
1	16	490	3	29	0.842105263157895	0.355555555555556	0.0594795539033457	0.922379986477354	ridge.stats
1	38	437	56	7	0.404255319148936	0.844444444444444	0.117100371747212	0.921478476448054	lasso.weight.stats
1	14	490	3	31	0.823529411764706	0.311111111111111	0.0631970260223048	0.914446698219518	lasso.stats
1	15	483	10	30	0.6	0.333333333333333	0.0743494423791822	0.656524678837052	random.forest
1	17	475	18	28	0.485714285714286	0.377777777777778	0.0855018587360595	0.670633310795583	random.forest.bag
1	19	483	10	26	0.655172413793103	0.422222222222222	0.0669144981412639	0.889925625422587	gam
1	19	488	5	26	0.791666666666667	0.422222222222222	0.0576208178438662	0.921298174442194	glm.boost
1	18	484	9	27	0.666666666666667	0.4	0.0669144981412639	0.929321613702954	gam.boost
1	12	489	4	33	0.75	0.266666666666667	0.0687732342007435	0.92001352265044	gbm.boost.depth4
1	12	490	3	33	0.8	0.266666666666667	0.0669144981412639	0.912621140410187	gbm.boost.depth2
1	23	473	20	22	0.534883720930233	0.511111111111111	0.0780669144981413	0.84895199459094	C5.0.boost
1	20	472	21	25	0.48780487804878	0.444444444444444	0.0855018587360595	0.909308091052518	flex.disc.anyl
2	23	418	72	25	0.242105263157895	0.479166666666667	0.180297397769517	0.666113945578231	glm.cross.weights.stats
2	23	458	32	25	0.418181818181818	0.479166666666667	0.105947955390335	0.706930272108844	glm.cross.stats
2	36	430	60	12	0.375	0.75	0.133828996282528	0.898852040816327	lda.stats
2	33	437	53	15	0.383720930232558	0.6875	0.12639405204461	0.865858843537409	qda.stats
2	38	433	57	10	0.4	0.791666666666667	0.12453531598513	0.898341836734697	ridge.weight.stats
2	8	486	4	40	0.666666666666667	0.166666666666667	0.0817843866171004	0.901275510204079	ridge.stats
2	34	439	51	14	0.4	0.708333333333333	0.120817843866171	0.897193877551019	lasso.weight.stats
2	8	485	5	40	0.615384615384615	0.166666666666667	0.0836431226765799	0.898681972789116	lasso.stats
2	21	479	11	27	0.65625	0.4375	0.0706319702602231	0.707525510204082	random.forest
2	22	474	16	26	0.578947368421053	0.458333333333333	0.0780669144981413	0.712840136054422	random.forest.bag
2	17	479	11	31	0.607142857142857	0.354166666666667	0.0780669144981413	0.887670068027215	gam
2	17	481	9	31	0.653846153846154	0.354166666666667	0.0743494423791822	0.90076530612245	glm.boost
2	20	478	12	28	0.625	0.416666666666667	0.0743494423791822	0.91016156462585	gam.boost
2	12	484	6	36	0.666666666666667	0.25	0.0780669144981413	0.901190476190477	gbm.boost.depth4
2	12	484	6	36	0.666666666666667	0.25	0.0780669144981413	0.895556972789115	gbm.boost.depth2
2	26	463	27	22	0.490566037735849	0.541666666666667	0.0910780669144982	0.853975340136054	C5.0.boost
2	23	467	23	25	0.5	0.479166666666667	0.0892193308550185	0.898852040816327	flex.disc.anyl
3	28	447	37	26	0.430769230769231	0.518518518518518	0.117100371747212	0.721036118763392	glm.cross.weights.stats
3	19	465	19	35	0.5	0.351851851851852	0.100371747211896	0.656297826752372	glm.cross.stats
3	40	435	49	14	0.449438202247191	0.740740740740741	0.117100371747212	0.887855831037647	lda.stats
3	37	439	45	17	0.451219512195122	0.685185185185185	0.115241635687732	0.871441689623506	qda.stats
3	42	436	48	12	0.466666666666667	0.777777777777778	0.111524163568773	0.892561983471072	ridge.weight.stats
3	9	477	7	45	0.5625	0.166666666666667	0.0966542750929368	0.899257728803183	ridge.stats
3	38	447	37	16	0.506666666666667	0.703703703703704	0.0985130111524164	0.904767370676462	lasso.weight.stats
3	3	483	1	51	0.75	0.0555555555555556	0.0966542750929368	0.907177838996021	lasso.stats
3	17	478	6	37	0.739130434782609	0.314814814814815	0.0799256505576208	0.651209060299969	random.forest
3	26	470	14	28	0.65	0.481481481481481	0.0780669144981413	0.726277930823385	random.forest.bag
3	20	475	9	34	0.689655172413793	0.37037037037037	0.0799256505576208	0.883226201408018	gam
3	15	478	6	39	0.714285714285714	0.277777777777778	0.0836431226765799	0.902509947964494	glm.boost
3	22	477	7	32	0.758620689655172	0.407407407407407	0.0724907063197026	0.910468319559228	gam.boost
3	6	482	2	48	0.75	0.111111111111111	0.0929368029739777	0.903734312825222	gbm.boost.depth4
3	5	482	2	49	0.714285714285714	0.0925925925925926	0.0947955390334573	0.904480410162228	gbm.boost.depth2
3	22	476	8	32	0.733333333333333	0.407407407407407	0.0743494423791822	0.850570094888277	C5.0.boost
3	26	468	16	28	0.619047619047619	0.481481481481481	0.0817843866171004	0.887855831037647	flex.disc.anyl
4	19	387	117	15	0.139705882352941	0.558823529411765	0.245353159851301	0.663340336134454	glm.cross.weights.stats
4	11	484	20	23	0.354838709677419	0.323529411764706	0.0799256505576208	0.641923436041083	glm.cross.stats
4	28	465	39	6	0.417910447761194	0.823529411764706	0.0836431226765799	0.927054154995332	lda.stats
4	22	469	35	12	0.385964912280702	0.647058823529412	0.087360594795539	0.902719421101774	qda.stats
4	29	466	38	5	0.432835820895522	0.852941176470588	0.0799256505576208	0.934815592903828	ridge.weight.stats
4	5	502	2	29	0.714285714285714	0.147058823529412	0.0576208178438662	0.931956115779645	ridge.stats
4	28	469	35	6	0.444444444444444	0.823529411764706	0.0762081784386617	0.933823529411765	lasso.weight.stats
4	10	503	1	24	0.909090909090909	0.294117647058824	0.0464684014869888	0.934582166199813	lasso.stats
4	15	499	5	19	0.75	0.441176470588235	0.0446096654275093	0.7156279178338	random.forest
4	17	497	7	17	0.708333333333333	0.5	0.0446096654275093	0.743055555555556	random.forest.bag
4	10	501	3	24	0.769230769230769	0.294117647058824	0.050185873605948	0.902661064425771	gam
4	10	502	2	24	0.833333333333333	0.294117647058824	0.0483271375464684	0.934932306255836	glm.boost
4	12	500	4	22	0.75	0.352941176470588	0.0483271375464684	0.932773109243698	gam.boost
4	7	504	0	27	1	0.205882352941176	0.050185873605948	0.930847338935574	gbm.boost.depth4
4	5	504	0	29	1	0.147058823529412	0.0539033457249071	0.935019841269841	gbm.boost.depth2
4	18	486	18	16	0.5	0.529411764705882	0.0631970260223048	0.890143557422969	C5.0.boost
4	17	497	7	17	0.708333333333333	0.5	0.0446096654275093	0.927054154995332	flex.disc.anyl
5	25	446	41	26	0.378787878787879	0.490196078431373	0.12453531598513	0.70300358336353	glm.cross.weights.stats
5	21	463	24	30	0.466666666666667	0.411764705882353	0.100371747211896	0.681241695856987	glm.cross.stats
5	42	443	44	9	0.488372093023256	0.823529411764706	0.0985130111524164	0.903973909892495	lda.stats
5	33	441	46	18	0.417721518987342	0.647058823529412	0.118959107806691	0.863067198131818	qda.stats
5	43	440	47	8	0.477777777777778	0.843137254901961	0.102230483271376	0.906429923098598	ridge.weight.stats
5	17	482	5	34	0.772727272727273	0.333333333333333	0.0724907063197026	0.90912751137415	ridge.stats
5	41	444	43	10	0.488095238095238	0.803921568627451	0.0985130111524164	0.906711760679622	lasso.weight.stats
5	17	484	3	34	0.85	0.333333333333333	0.0687732342007435	0.907033860772227	lasso.stats
5	20	481	6	31	0.769230769230769	0.392156862745098	0.0687732342007435	0.689918267101502	random.forest
5	24	480	7	27	0.774193548387097	0.470588235294118	0.0631970260223048	0.728107259330837	random.forest.bag
5	22	476	11	29	0.666666666666667	0.431372549019608	0.0743494423791822	0.891089906188343	gam
5	20	480	7	31	0.740740740740741	0.392156862745098	0.0706319702602231	0.905181785239754	glm.boost
5	21	478	9	30	0.7	0.411764705882353	0.0724907063197026	0.904658372589276	gam.boost
5	10	485	2	41	0.833333333333333	0.196078431372549	0.0799256505576208	0.912630349881225	gbm.boost.depth4
5	12	484	3	39	0.8	0.235294117647059	0.0780669144981413	0.916636469782985	gbm.boost.depth2
5	24	468	19	27	0.558139534883721	0.470588235294118	0.0855018587360595	0.88511092321939	C5.0.boost
5	25	469	18	26	0.581395348837209	0.490196078431373	0.0817843866171004	0.903973909892495	flex.disc.anyl
6	19	370	134	15	0.124183006535948	0.558823529411765	0.276951672862453	0.646475256769374	glm.cross.weights.stats
6	12	477	27	22	0.307692307692308	0.352941176470588	0.0910780669144982	0.64968487394958	glm.cross.stats
6	21	471	33	13	0.388888888888889	0.617647058823529	0.0855018587360595	0.863328664799253	lda.stats
6	20	468	36	14	0.357142857142857	0.588235294117647	0.0929368029739777	0.840744631185808	qda.stats
6	21	465	39	13	0.35	0.617647058823529	0.0966542750929368	0.870915032679739	ridge.weight.stats
6	6	497	7	28	0.461538461538462	0.176470588235294	0.0650557620817844	0.868755835667601	ridge.stats
6	20	473	31	14	0.392156862745098	0.588235294117647	0.0836431226765799	0.877684407096172	lasso.weight.stats
6	5	501	3	29	0.625	0.147058823529412	0.0594795539033457	0.868989262371616	lasso.stats
6	13	494	10	21	0.565217391304348	0.382352941176471	0.0576208178438662	0.6812558356676	random.forest
6	16	493	11	18	0.592592592592593	0.470588235294118	0.0539033457249071	0.72438141923436	random.forest.bag
6	8	497	7	26	0.533333333333333	0.235294117647059	0.0613382899628253	0.860760971055089	gam
6	9	498	6	25	0.6	0.264705882352941	0.0576208178438662	0.877684407096172	glm.boost
6	8	497	7	26	0.533333333333333	0.235294117647059	0.0613382899628253	0.880135387488329	gam.boost
6	8	500	4	26	0.666666666666667	0.235294117647059	0.0557620817843866	0.885883520074697	gbm.boost.depth4
6	8	502	2	26	0.8	0.235294117647059	0.0520446096654275	0.888159430438842	gbm.boost.depth2
6	16	494	10	18	0.615384615384615	0.470588235294118	0.0520446096654275	0.849760737628385	C5.0.boost
6	11	489	15	23	0.423076923076923	0.323529411764706	0.0706319702602231	0.863328664799253	flex.disc.anyl
7	13	415	92	18	0.123809523809524	0.419354838709677	0.204460966542751	0.618947636317363	glm.cross.weights.stats
7	12	479	28	19	0.3	0.387096774193548	0.087360594795539	0.665934974867977	glm.cross.stats
7	23	466	41	8	0.359375	0.741935483870968	0.0910780669144982	0.890755233186992	lda.stats
7	20	471	36	11	0.357142857142857	0.645161290322581	0.087360594795539	0.900330851943752	qda.stats
7	24	470	37	7	0.39344262295082	0.774193548387097	0.0817843866171004	0.892854870522354	ridge.weight.stats
7	12	493	14	19	0.461538461538462	0.387096774193548	0.0613382899628253	0.892218616784364	ridge.stats
7	25	471	36	6	0.409836065573771	0.806451612903226	0.0780669144981413	0.88833746898262	lasso.weight.stats
7	12	493	14	19	0.461538461538462	0.387096774193548	0.0613382899628253	0.889800852579999	lasso.stats
7	16	495	12	15	0.571428571428571	0.516129032258065	0.050185873605948	0.746230196602405	random.forest
7	18	491	16	13	0.529411764705882	0.580645161290323	0.0539033457249071	0.774543487942992	random.forest.bag
7	13	490	17	18	0.433333333333333	0.419354838709677	0.0650557620817844	0.884838073423678	gam
7	12	492	15	19	0.444444444444444	0.387096774193548	0.0631970260223048	0.889737227206201	glm.boost
7	13	495	12	18	0.52	0.419354838709677	0.0557620817843866	0.906725202010556	gam.boost
7	10	501	6	21	0.625	0.32258064516129	0.050185873605948	0.925971877584781	gbm.boost.depth4
7	8	500	7	23	0.533333333333333	0.258064516129032	0.0557620817843866	0.919323026022778	gbm.boost.depth2
7	15	489	18	16	0.454545454545455	0.483870967741935	0.0631970260223048	0.880002545014952	C5.0.boost
7	14	487	20	17	0.411764705882353	0.451612903225806	0.0687732342007435	0.890755233186992	flex.disc.anyl
8	23	413	84	18	0.214953271028037	0.560975609756098	0.189591078066915	0.695980762624528	glm.cross.weights.stats
8	22	465	32	19	0.407407407407407	0.536585365853659	0.0947955390334573	0.736099523973107	glm.cross.stats
8	32	446	51	9	0.385542168674699	0.780487804878049	0.111524163568773	0.924768120920646	lda.stats
8	26	452	45	15	0.366197183098592	0.634146341463415	0.111524163568773	0.825734897188011	qda.stats
8	33	447	50	8	0.397590361445783	0.804878048780488	0.107806691449814	0.918928203366541	ridge.weight.stats
8	9	492	5	32	0.642857142857143	0.219512195121951	0.0687732342007435	0.923688472297198	ridge.stats
8	33	448	49	8	0.402439024390244	0.804878048780488	0.105947955390335	0.921185650488296	lasso.weight.stats
8	6	495	2	35	0.75	0.146341463414634	0.0687732342007435	0.923786622172057	lasso.stats
8	16	488	9	25	0.64	0.390243902439024	0.0631970260223048	0.686067625263778	random.forest
8	19	482	15	22	0.558823529411765	0.463414634146341	0.0687732342007435	0.716616773813613	random.forest.bag
8	16	486	11	25	0.592592592592593	0.390243902439024	0.0669144981412639	0.882220150169313	gam
8	13	486	11	28	0.541666666666667	0.317073170731707	0.0724907063197026	0.922412523924033	glm.boost
8	18	486	11	23	0.620689655172414	0.439024390243902	0.0631970260223048	0.918535603867106	gam.boost
8	11	493	4	30	0.733333333333333	0.268292682926829	0.0631970260223048	0.891004563969181	gbm.boost.depth4
8	8	492	5	33	0.615384615384615	0.195121951219512	0.0706319702602231	0.906880306227609	gbm.boost.depth2
8	19	477	20	22	0.487179487179487	0.463414634146341	0.0780669144981413	0.844972272660352	C5.0.boost
8	22	477	20	19	0.523809523809524	0.536585365853659	0.0724907063197026	0.924768120920646	flex.disc.anyl
9	23	452	43	20	0.348484848484849	0.534883720930233	0.117100371747212	0.724007517030773	glm.cross.weights.stats
9	17	477	18	26	0.485714285714286	0.395348837209302	0.0817843866171004	0.679492600422833	glm.cross.stats
9	28	461	34	15	0.451612903225806	0.651162790697674	0.0910780669144982	0.86135776368334	lda.stats
9	28	463	32	15	0.466666666666667	0.651162790697674	0.087360594795539	0.866784120272489	qda.stats
9	32	459	36	11	0.470588235294118	0.744186046511628	0.087360594795539	0.886492835330041	ridge.weight.stats
9	13	490	5	30	0.722222222222222	0.302325581395349	0.0650557620817844	0.882546394174297	ridge.stats
9	29	461	34	14	0.46031746031746	0.674418604651163	0.0892193308550185	0.869062720225509	lasso.weight.stats
9	14	490	5	29	0.736842105263158	0.325581395348837	0.0631970260223048	0.888841907446555	lasso.stats
9	18	489	6	25	0.75	0.418604651162791	0.0576208178438662	0.703241719520789	random.forest
9	19	487	8	24	0.703703703703704	0.441860465116279	0.0594795539033457	0.712849424477331	random.forest.bag
9	15	491	4	28	0.789473684210526	0.348837209302326	0.0594795539033457	0.859102654451487	gam
9	14	490	5	29	0.736842105263158	0.325581395348837	0.0631970260223048	0.890204369274134	glm.boost
9	18	489	6	25	0.75	0.418604651162791	0.0576208178438662	0.898097251585622	gam.boost
9	8	492	3	35	0.727272727272727	0.186046511627907	0.0706319702602231	0.873713883016208	gbm.boost.depth4
9	8	492	3	35	0.727272727272727	0.186046511627907	0.0706319702602231	0.874935400516796	gbm.boost.depth2
9	19	485	10	24	0.655172413793103	0.441860465116279	0.0631970260223048	0.836175710594315	C5.0.boost
9	19	483	12	24	0.612903225806452	0.441860465116279	0.0669144981412639	0.86135776368334	flex.disc.anyl
10	17	427	73	21	0.188888888888889	0.447368421052632	0.174721189591078	0.650684210526316	glm.cross.weights.stats
10	10	487	13	28	0.434782608695652	0.263157894736842	0.0762081784386617	0.618578947368421	glm.cross.stats
10	29	463	37	9	0.439393939393939	0.763157894736842	0.0855018587360595	0.878842105263158	lda.stats
10	22	471	29	16	0.431372549019608	0.578947368421053	0.0836431226765799	0.866026315789471	qda.stats
10	30	459	41	8	0.422535211267606	0.789473684210526	0.0910780669144982	0.893157894736843	ridge.weight.stats
10	8	498	2	30	0.8	0.210526315789474	0.0594795539033457	0.891421052631576	ridge.stats
10	30	461	39	8	0.434782608695652	0.789473684210526	0.087360594795539	0.891684210526311	lasso.weight.stats
10	10	497	3	28	0.769230769230769	0.263157894736842	0.0576208178438662	0.895105263157894	lasso.stats
10	14	494	6	24	0.7	0.368421052631579	0.0557620817843866	0.678210526315789	random.forest
10	18	491	9	20	0.666666666666667	0.473684210526316	0.0539033457249071	0.727842105263158	random.forest.bag
10	12	495	5	26	0.705882352941177	0.315789473684211	0.0576208178438662	0.880105263157897	gam
10	10	496	4	28	0.714285714285714	0.263157894736842	0.0594795539033457	0.894578947368421	glm.boost
10	15	495	5	23	0.75	0.394736842105263	0.0520446096654275	0.903473684210526	gam.boost
10	8	497	3	30	0.727272727272727	0.210526315789474	0.0613382899628253	0.914552631578947	gbm.boost.depth4
10	5	497	3	33	0.625	0.131578947368421	0.0669144981412639	0.895684210526316	gbm.boost.depth2
10	17	491	9	21	0.653846153846154	0.447368421052632	0.0557620817843866	0.836842105263158	C5.0.boost
10	15	488	12	23	0.555555555555556	0.394736842105263	0.0650557620817844	0.878842105263158	flex.disc.anyl
11	34	419	70	15	0.326923076923077	0.693877551020408	0.157992565055762	0.775364133383415	glm.cross.weights.stats
11	28	468	21	21	0.571428571428571	0.571428571428571	0.0780669144981413	0.764241893076249	glm.cross.stats
11	37	437	52	12	0.415730337078652	0.755102040816326	0.118959107806691	0.942072534535287	lda.stats
11	32	441	48	17	0.4	0.653061224489796	0.120817843866171	0.878469179082671	qda.stats
11	42	438	51	7	0.451612903225806	0.857142857142857	0.107806691449814	0.935478485872877	ridge.weight.stats
11	9	489	0	40	1	0.183673469387755	0.0743494423791822	0.938775510204081	ridge.stats
11	39	444	45	10	0.464285714285714	0.795918367346939	0.102230483271376	0.941529986227621	lasso.weight.stats
11	13	489	0	36	1	0.26530612244898	0.0669144981412639	0.939067651600519	lasso.stats
11	22	483	6	27	0.785714285714286	0.448979591836735	0.0613382899628253	0.718354826593214	random.forest
11	22	482	7	27	0.758620689655172	0.448979591836735	0.0631970260223048	0.717332331705688	random.forest.bag
11	21	485	4	28	0.84	0.428571428571429	0.0594795539033457	0.929593923458952	gam
11	19	485	4	30	0.826086956521739	0.387755102040816	0.0631970260223048	0.93956846542298	glm.boost
11	21	483	6	28	0.777777777777778	0.428571428571429	0.0631970260223048	0.944868745044032	gam.boost
11	8	489	0	41	1	0.163265306122449	0.0762081784386617	0.942698551813363	gbm.boost.depth4
11	6	489	0	43	1	0.122448979591837	0.0799256505576208	0.936208839363966	gbm.boost.depth2
11	30	477	12	19	0.714285714285714	0.612244897959184	0.0576208178438662	0.892658904052419	C5.0.boost
