trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	43	386	31	119	0.581081081081081	0.265432098765432	0.259067357512953	0.701646090534981	gbm.id1.cv3
1	49	388	29	113	0.628205128205128	0.302469135802469	0.245250431778929	0.703481659117151	gbm.id2.cv3
1	45	389	28	117	0.616438356164384	0.277777777777778	0.250431778929188	0.7119341563786	gbm.id3.cv3
1	44	390	27	118	0.619718309859155	0.271604938271605	0.250431778929188	0.709077182698287	gbm.id4.cv3
1	43	384	33	119	0.565789473684211	0.265432098765432	0.262521588946459	0.703318826420344	gbm.id1.cv3.top5
1	47	388	29	115	0.618421052631579	0.290123456790123	0.248704663212435	0.70664949521864	gbm.id2.cv3.top5
1	45	390	27	117	0.625	0.277777777777778	0.248704663212435	0.713281226870356	gbm.id3.cv3.top5
1	50	385	32	112	0.609756097560976	0.308641975308642	0.248704663212435	0.713962163602452	gbm.id4.cv3.top5
2	40	387	16	136	0.714285714285714	0.227272727272727	0.262521588946459	0.722676517031357	gbm.id1.cv3
2	42	384	19	134	0.688524590163934	0.238636363636364	0.264248704663212	0.727004849988723	gbm.id2.cv3
2	38	387	16	138	0.703703703703704	0.215909090909091	0.265975820379965	0.73360309045793	gbm.id3.cv3
2	40	384	19	136	0.677966101694915	0.227272727272727	0.267702936096718	0.736211369275886	gbm.id4.cv3
2	47	381	22	129	0.681159420289855	0.267045454545455	0.260794473229706	0.729796413264156	gbm.id1.cv3.top5
2	46	383	20	130	0.696969696969697	0.261363636363636	0.259067357512953	0.736408752537786	gbm.id2.cv3.top5
2	42	385	18	134	0.7	0.238636363636364	0.262521588946459	0.732587976539591	gbm.id3.cv3.top5
2	36	390	13	140	0.73469387755102	0.204545454545455	0.264248704663212	0.73451951274532	gbm.id4.cv3.top5
3	38	380	27	134	0.584615384615385	0.22093023255814	0.278065630397237	0.701731329638307	gbm.id1.cv3
3	36	379	28	136	0.5625	0.209302325581395	0.283246977547496	0.708330952517	gbm.id2.cv3
3	35	382	25	137	0.583333333333333	0.203488372093023	0.27979274611399	0.713930632535284	gbm.id3.cv3
3	37	381	26	135	0.587301587301587	0.215116279069767	0.278065630397237	0.711702188446375	gbm.id4.cv3
3	38	379	28	134	0.575757575757576	0.22093023255814	0.27979274611399	0.701574195760243	gbm.id1.cv3.top5
3	34	382	25	138	0.576271186440678	0.197674418604651	0.281519861830743	0.70730243986058	gbm.id2.cv3.top5
3	36	381	26	136	0.580645161290323	0.209302325581395	0.27979274611399	0.712202159876579	gbm.id3.cv3.top5
3	38	380	27	134	0.584615384615385	0.22093023255814	0.278065630397237	0.717144734586596	gbm.id4.cv3.top5
4	31	394	40	114	0.436619718309859	0.213793103448276	0.265975820379965	0.722215159701257	gbm.id1.cv3
4	31	400	34	114	0.476923076923077	0.213793103448276	0.255613126079447	0.725297950103289	gbm.id2.cv3
4	34	396	38	111	0.472222222222222	0.23448275862069	0.2573402417962	0.729906245034163	gbm.id3.cv3
4	36	395	39	109	0.48	0.248275862068966	0.255613126079447	0.730557762593357	gbm.id4.cv3
4	27	402	32	118	0.457627118644068	0.186206896551724	0.259067357512953	0.724233275067536	gbm.id1.cv3.top5
4	27	405	29	118	0.482142857142857	0.186206896551724	0.253886010362694	0.722183378356905	gbm.id2.cv3.top5
4	30	406	28	115	0.517241379310345	0.206896551724138	0.246977547495682	0.725393294136342	gbm.id3.cv3.top5
