trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	9	522	10	38	0.473684210526316	0.191489361702128	0.082901554404145	0.747520396736522	gbm.id1.cv3
1	9	524	8	38	0.529411764705882	0.191489361702128	0.0794473229706391	0.758458646616541	gbm.id2.cv3
1	8	524	8	39	0.5	0.170212765957447	0.081174438687392	0.750559910414334	gbm.id3.cv3
1	9	526	6	38	0.6	0.191489361702128	0.075993091537133	0.759858422652375	gbm.id4.cv3
1	9	524	8	38	0.529411764705882	0.191489361702128	0.0794473229706391	0.763857782754759	gbm.id1.cv3.top5
1	9	526	6	38	0.6	0.191489361702128	0.075993091537133	0.758478643417053	gbm.id2.cv3.top5
1	8	524	8	39	0.5	0.170212765957447	0.081174438687392	0.755179171332586	gbm.id3.cv3.top5
1	9	523	9	38	0.5	0.191489361702128	0.081174438687392	0.763177891537353	gbm.id4.cv3.top5
2	11	526	0	42	1	0.207547169811321	0.072538860103627	0.877663390487122	gbm.id1.cv3
2	9	524	2	44	0.818181818181818	0.169811320754717	0.0794473229706391	0.881304254250663	gbm.id2.cv3
2	8	524	2	45	0.8	0.150943396226415	0.081174438687392	0.883259200803501	gbm.id3.cv3
2	5	526	0	48	1	0.0943396226415094	0.082901554404145	0.886541358777531	gbm.id4.cv3
2	11	524	2	42	0.846153846153846	0.207547169811321	0.075993091537133	0.891904010330727	gbm.id1.cv3.top5
2	9	523	3	44	0.75	0.169811320754717	0.081174438687392	0.873592079776167	gbm.id2.cv3.top5
2	8	526	0	45	1	0.150943396226415	0.0777202072538861	0.882792883277136	gbm.id3.cv3.top5
2	7	523	3	46	0.7	0.132075471698113	0.0846286701208981	0.895867709304827	gbm.id4.cv3.top5
3	14	531	3	31	0.823529411764706	0.311111111111111	0.0587219343696027	0.87840199750312	gbm.id1.cv3
3	9	531	3	36	0.75	0.2	0.0673575129533679	0.887390761548064	gbm.id2.cv3
3	10	532	2	35	0.833333333333333	0.222222222222222	0.0639032815198618	0.891573033707864	gbm.id3.cv3
