trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	48	414	23	53	0.676056338028169	0.475247524752475	0.141263940520446	0.824988105217846	gbm.id1.cv3
1	47	415	22	54	0.681159420289855	0.465346534653465	0.141263940520446	0.819969639984595	gbm.id2.cv3
1	47	414	23	54	0.671428571428571	0.465346534653465	0.143122676579926	0.818202415207198	gbm.id3.cv3
1	46	411	26	55	0.638888888888889	0.455445544554455	0.150557620817844	0.818361012302605	gbm.id4.cv3
1	49	414	23	52	0.680555555555556	0.485148514851485	0.139405204460966	0.822960328069422	gbm.id1.cv3.top5
1	48	414	23	53	0.676056338028169	0.475247524752475	0.141263940520446	0.820037610168342	gbm.id2.cv3.top5
1	48	416	21	53	0.695652173913043	0.475247524752475	0.137546468401487	0.816865668260192	gbm.id3.cv3.top5
1	44	413	24	57	0.647058823529412	0.435643564356436	0.150557620817844	0.817318802818499	gbm.id4.cv3.top5
2	39	424	20	55	0.661016949152542	0.414893617021277	0.139405204460966	0.818094690435114	gbm.id1.cv3
2	41	423	21	53	0.661290322580645	0.436170212765957	0.137546468401487	0.82068238451217	gbm.id2.cv3
2	38	424	20	56	0.655172413793103	0.404255319148936	0.141263940520446	0.816369561050409	gbm.id3.cv3
2	37	424	20	57	0.649122807017544	0.393617021276596	0.143122676579926	0.816225800268351	gbm.id4.cv3
2	39	424	20	55	0.661016949152542	0.414893617021277	0.139405204460966	0.813997508146442	gbm.id1.cv3.top5
2	39	426	18	55	0.684210526315789	0.414893617021277	0.135687732342007	0.813302664366492	gbm.id2.cv3.top5
2	36	427	17	58	0.679245283018868	0.382978723404255	0.139405204460966	0.818238451217172	gbm.id3.cv3.top5
2	38	424	20	56	0.655172413793103	0.404255319148936	0.141263940520446	0.814141268928499	gbm.id4.cv3.top5
3	47	416	20	55	0.701492537313433	0.46078431372549	0.139405204460966	0.839786832164063	gbm.id1.cv3
3	46	416	20	56	0.696969696969697	0.450980392156863	0.141263940520446	0.845779366792591	gbm.id2.cv3
3	42	416	20	60	0.67741935483871	0.411764705882353	0.148698884758364	0.849343407087608	gbm.id3.cv3
3	44	415	21	58	0.676923076923077	0.431372549019608	0.146840148698885	0.848106673862209	gbm.id4.cv3
3	47	416	20	55	0.701492537313433	0.46078431372549	0.139405204460966	0.842147868321644	gbm.id1.cv3.top5
3	44	417	19	58	0.698412698412698	0.431372549019608	0.143122676579926	0.846735024284946	gbm.id2.cv3.top5
3	41	417	19	61	0.683333333333333	0.401960784313726	0.148698884758364	0.846082928584279	gbm.id3.cv3.top5
3	42	417	19	60	0.688524590163934	0.411764705882353	0.146840148698885	0.850535168195721	gbm.id4.cv3.top5
4	40	426	28	44	0.588235294117647	0.476190476190476	0.133828996282528	0.839311936228233	gbm.id1.cv3
