trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	algo
1	17	492	11	18	0.607142857142857	0.485714285714286	0.0539033457249071	0.90195967054814	gbm.id1.cv3
1	16	492	11	19	0.592592592592593	0.457142857142857	0.0557620817843866	0.894831013916501	gbm.id2.cv3
1	17	494	9	18	0.653846153846154	0.485714285714286	0.050185873605948	0.906901448452144	gbm.id3.cv3
1	17	494	9	18	0.653846153846154	0.485714285714286	0.050185873605948	0.905822209599546	gbm.id4.cv3
1	17	491	12	18	0.586206896551724	0.485714285714286	0.0557620817843866	0.901391650099404	gbm.id1.cv3.top5
1	16	493	10	19	0.615384615384615	0.457142857142857	0.0539033457249071	0.899602385685884	gbm.id2.cv3.top5
1	17	492	11	18	0.607142857142857	0.485714285714286	0.0539033457249071	0.905737006532235	gbm.id3.cv3.top5
1	17	494	9	18	0.653846153846154	0.485714285714286	0.050185873605948	0.907867083214995	gbm.id4.cv3.top5
2	17	490	6	25	0.739130434782609	0.404761904761905	0.0576208178438662	0.91107430875576	gbm.id1.cv3
2	21	487	9	21	0.7	0.5	0.0557620817843866	0.912682411674347	gbm.id2.cv3
2	22	487	9	20	0.709677419354839	0.523809523809524	0.0539033457249071	0.907450076804915	gbm.id3.cv3
2	23	486	10	19	0.696969696969697	0.547619047619048	0.0539033457249071	0.912610407066052	gbm.id4.cv3
2	17	489	7	25	0.708333333333333	0.404761904761905	0.0594795539033457	0.91107430875576	gbm.id1.cv3.top5
2	19	489	7	23	0.730769230769231	0.452380952380952	0.0557620817843866	0.913474462365591	gbm.id2.cv3.top5
2	22	486	10	20	0.6875	0.523809523809524	0.0557620817843866	0.913210445468509	gbm.id3.cv3.top5
2	24	485	11	18	0.685714285714286	0.571428571428571	0.0539033457249071	0.912682411674347	gbm.id4.cv3.top5
3	10	494	4	30	0.714285714285714	0.25	0.0631970260223048	0.900853413654618	gbm.id1.cv3
3	11	492	6	29	0.647058823529412	0.275	0.0650557620817844	0.897941767068273	gbm.id2.cv3
3	10	492	6	30	0.625	0.25	0.0669144981412639	0.899974899598393	gbm.id3.cv3
3	11	493	5	29	0.6875	0.275	0.0631970260223048	0.894427710843374	gbm.id4.cv3
3	11	491	7	29	0.611111111111111	0.275	0.0669144981412639	0.895281124497992	gbm.id1.cv3.top5
3	12	491	7	28	0.631578947368421	0.3	0.0650557620817844	0.904593373493976	gbm.id2.cv3.top5
3	9	493	5	31	0.642857142857143	0.225	0.0669144981412639	0.884563253012048	gbm.id3.cv3.top5
3	12	492	6	28	0.666666666666667	0.3	0.0631970260223048	0.897991967871486	gbm.id4.cv3.top5
4	22	480	4	32	0.846153846153846	0.407407407407407	0.0669144981412639	0.921009335782063	gbm.id1.cv3
4	24	481	3	30	0.888888888888889	0.444444444444444	0.0613382899628253	0.919765840220386	gbm.id2.cv3
4	21	482	2	33	0.91304347826087	0.388888888888889	0.0650557620817844	0.918101469237833	gbm.id3.cv3
4	22	481	3	32	0.88	0.407407407407407	0.0650557620817844	0.913758800122437	gbm.id4.cv3
4	22	481	3	32	0.88	0.407407407407407	0.0650557620817844	0.917164064891338	gbm.id1.cv3.top5
4	21	481	3	33	0.875	0.388888888888889	0.0669144981412639	0.913510101010101	gbm.id2.cv3.top5
4	24	481	3	30	0.888888888888889	0.444444444444444	0.0613382899628253	0.91027701254974	gbm.id3.cv3.top5
4	22	481	3	32	0.88	0.407407407407407	0.0650557620817844	0.915824915824916	gbm.id4.cv3.top5
5	21	487	10	20	0.67741935483871	0.51219512195122	0.0557620817843866	0.928154291603278	gbm.id1.cv3
5	22	486	11	19	0.666666666666667	0.536585365853659	0.0557620817843866	0.928105216665849	gbm.id2.cv3
5	23	486	11	18	0.676470588235294	0.560975609756098	0.0539033457249071	0.92884134072729	gbm.id3.cv3
