accession	in approved list	organism	life stage	age	assay	tissue/cell line	target	status	description	fileFormat	fileSize	URL	md5sum	assembly	lab	date created	biologicalReplicate	technicalReplicate	run type	read length	control details(@Accession;URL;md5Sum)	friendly name
ENCSR871YCT	NA	mm	embryonic	11.5day	ChIP-seq	limb	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse limb	fastq	650364370	https://www.encodedcc.org/files/ENCFF002DTF/@@download/ENCFF002DTF.fastq.gz	7474b9be402b221fbce7b6c51c22b31f	NA	bing-ren	2014-07-01	1	1	Single-ended	36nt	@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZUZ/@@download/ENCFF001ZUZ.fastq.gz;5f7535d095e052a6f2fda848df9607d9@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZVA/@@download/ENCFF001ZVA.fastq.gz;14d62956b87ce710e9e1b08730ec05a3	ENCSR871YCT_mm_embryonic_11.5day_limb_ChIP-seq_H3K36me3_1_1
ENCSR871YCT	NA	mm	embryonic	11.5day	ChIP-seq	limb	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse limb	fastq	590981312	https://www.encodedcc.org/files/ENCFF002DTG/@@download/ENCFF002DTG.fastq.gz	0fb50bd3c11e1d441b5bc7bdd673e00f	NA	bing-ren	2014-07-01	1	2	Single-ended	36nt	@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZUZ/@@download/ENCFF001ZUZ.fastq.gz;5f7535d095e052a6f2fda848df9607d9@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZVA/@@download/ENCFF001ZVA.fastq.gz;14d62956b87ce710e9e1b08730ec05a3	ENCSR871YCT_mm_embryonic_11.5day_limb_ChIP-seq_H3K36me3_1_2
ENCSR871YCT	NA	mm	embryonic	11.5day	ChIP-seq	limb	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse limb	fastq	660371336	https://www.encodedcc.org/files/ENCFF002DTH/@@download/ENCFF002DTH.fastq.gz	171318cc3026cd78d0dfdcc2590aac98	NA	bing-ren	2014-07-01	2	1	Single-ended	36nt	@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZUZ/@@download/ENCFF001ZUZ.fastq.gz;5f7535d095e052a6f2fda848df9607d9@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZVA/@@download/ENCFF001ZVA.fastq.gz;14d62956b87ce710e9e1b08730ec05a3	ENCSR871YCT_mm_embryonic_11.5day_limb_ChIP-seq_H3K36me3_2_1
ENCSR871YCT	NA	mm	embryonic	11.5day	ChIP-seq	limb	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse limb	fastq	603069861	https://www.encodedcc.org/files/ENCFF002DTJ/@@download/ENCFF002DTJ.fastq.gz	988ae961c674162079970c3e7f3df106	NA	bing-ren	2014-07-01	2	2	Single-ended	36nt	@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZUZ/@@download/ENCFF001ZUZ.fastq.gz;5f7535d095e052a6f2fda848df9607d9@ENCSR949ZLW;https://www.encodedcc.org/files/ENCFF001ZVA/@@download/ENCFF001ZVA.fastq.gz;14d62956b87ce710e9e1b08730ec05a3	ENCSR871YCT_mm_embryonic_11.5day_limb_ChIP-seq_H3K36me3_2_2
ENCSR535NVF	NA	mm	embryonic	11.5day	ChIP-seq	midbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse midbrain	fastq	577088811	https://www.encodedcc.org/files/ENCFF002DTB/@@download/ENCFF002DTB.fastq.gz	f41c2eff740c8e6c429839744ee49e4b	NA	bing-ren	2014-07-01	1	1	Single-ended	36nt	@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUV/@@download/ENCFF001ZUV.fastq.gz;cfa17d2d40f1bb329f4e51098052eefd@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUW/@@download/ENCFF001ZUW.fastq.gz;3edb8444bab6101e94bb2b1dae01bec5	ENCSR535NVF_mm_embryonic_11.5day_midbrain_ChIP-seq_H3K36me3_1_1
ENCSR535NVF	NA	mm	embryonic	11.5day	ChIP-seq	midbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse midbrain	fastq	662695754	https://www.encodedcc.org/files/ENCFF002DTC/@@download/ENCFF002DTC.fastq.gz	3468b05db0b614e8801287334bdc5508	NA	bing-ren	2014-07-01	1	2	Single-ended	36nt	@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUV/@@download/ENCFF001ZUV.fastq.gz;cfa17d2d40f1bb329f4e51098052eefd@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUW/@@download/ENCFF001ZUW.fastq.gz;3edb8444bab6101e94bb2b1dae01bec5	ENCSR535NVF_mm_embryonic_11.5day_midbrain_ChIP-seq_H3K36me3_1_2
ENCSR535NVF	NA	mm	embryonic	11.5day	ChIP-seq	midbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse midbrain	fastq	592504042	https://www.encodedcc.org/files/ENCFF002DTD/@@download/ENCFF002DTD.fastq.gz	c4eea6a999e7a232751a481c18963975	NA	bing-ren	2014-07-01	2	2	Single-ended	36nt	@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUV/@@download/ENCFF001ZUV.fastq.gz;cfa17d2d40f1bb329f4e51098052eefd@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUW/@@download/ENCFF001ZUW.fastq.gz;3edb8444bab6101e94bb2b1dae01bec5	ENCSR535NVF_mm_embryonic_11.5day_midbrain_ChIP-seq_H3K36me3_2_2
ENCSR535NVF	NA	mm	embryonic	11.5day	ChIP-seq	midbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse midbrain	fastq	670841937	https://www.encodedcc.org/files/ENCFF002DTE/@@download/ENCFF002DTE.fastq.gz	2350333debf494b509f12fbd24489f11	NA	bing-ren	2014-07-01	2	1	Single-ended	36nt	@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUV/@@download/ENCFF001ZUV.fastq.gz;cfa17d2d40f1bb329f4e51098052eefd@ENCSR081UQY;https://www.encodedcc.org/files/ENCFF001ZUW/@@download/ENCFF001ZUW.fastq.gz;3edb8444bab6101e94bb2b1dae01bec5	ENCSR535NVF_mm_embryonic_11.5day_midbrain_ChIP-seq_H3K36me3_2_1
ENCSR066LZB	NA	mm	embryonic	11.5day	ChIP-seq	forebrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse forebrain	fastq	351432439	https://www.encodedcc.org/files/ENCFF002DSZ/@@download/ENCFF002DSZ.fastq.gz	a3e5e2eed98395f65e4ca3f20c921388	NA	bing-ren	2014-07-01	2	1	Single-ended	36nt	@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUM/@@download/ENCFF001ZUM.fastq.gz;73d3d4ad0432d951a910cda3afdec7f2@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUS/@@download/ENCFF001ZUS.fastq.gz;3c3f26197d45de02cc02b9b7a69f531f	ENCSR066LZB_mm_embryonic_11.5day_forebrain_ChIP-seq_H3K36me3_2_1
ENCSR066LZB	NA	mm	embryonic	11.5day	ChIP-seq	forebrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse forebrain	fastq	648697078	https://www.encodedcc.org/files/ENCFF002DTA/@@download/ENCFF002DTA.fastq.gz	7693df094797c7ca52c5ab675337184a	NA	bing-ren	2014-07-01	2	2	Single-ended	36nt	@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUM/@@download/ENCFF001ZUM.fastq.gz;73d3d4ad0432d951a910cda3afdec7f2@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUS/@@download/ENCFF001ZUS.fastq.gz;3c3f26197d45de02cc02b9b7a69f531f	ENCSR066LZB_mm_embryonic_11.5day_forebrain_ChIP-seq_H3K36me3_2_2
