chr	start	end	name	label	original_species	tissue_positive	P300_vInpt_fbrain	P300_mbrain	H3K27ac_vInptt_fbrain	P300_vInpt_fbrain2	H3K27ac_vInpt_cbellum	H3K27me3_vInpt_cbellum	H3k4me1_vInpt_cbellum	H3k4me3_vInpt_cbellum	H3k27ac_vInpt_cortex	H3k4me1_vInpt_cortex	H3k4me3_vInpt_cortex	H3k04me1_vInpt_wbrain	H3k04me3_vInpt_wbrain	H3k09me3_vInpt_wbrain	H3k27ac_vInpt_wbrain	H3k27me3_vInpt_wbrain	H3k36me3_vInpt_wbrain	Pol2_vInpt_wbrain
chr1	6719313	6720398	element698	1	Human	dorsalrootganglion,forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube,trigeminalV(ganglion,cranial)	0.275358	0.443044	0.147817	0.382481	0.53175	-0.213976	-0.0926251	2.78517	0.0413875	0.110417	0.0378602	0.0807399	1.41568	0.0124285	6.48312	0.00361324	-0.00760556	-0.103454
chr1	41331725	41333705	element1112	1	Human	branchialarch,forebrain,hindbrain(rhombencephalon),limb,midbrain(mesencephalon),other	0.0670536	0.209939	0.224063	-0.00518318	-0.0287867	-0.0167026	-0.0382119	-0.0426563	-0.0168591	0.014701	-0.0322059	0.847103	0.121663	-0.0305055	0.706906	-0.0373693	-0.0680523	-0.064997
chr1	41660539	41664055	element1526	1	Human	forebrain	1.80882	0.0675563	0.18483	0.0117029	-0.0353398	-0.0227913	-0.0350467	-0.0534287	-0.0367757	-0.0137216	-0.00869522	0.00397628	-0.0266559	-0.0172386	0.891683	-0.018938	-0.0190928	-0.0562215
chr1	41869786	41872201	element1529	1	Human	forebrain	1.40856	0.0904869	0.238718	0.0653487	-0.0433105	-0.00254298	-0.0422921	-0.0519035	0.0440711	-0.00333993	-0.0776862	0.0052748	-0.0254578	-0.0219575	0.746012	-0.0255516	-0.0303625	-0.0359284
chr1	41974343	41977450	element1303	1	Human	forebrain	1.86901	0.0573376	0.0656867	0.0253379	-0.0426647	-0.0133876	-0.0490413	-0.0529057	-0.0492779	-0.0227886	-0.0398498	0.0231943	-0.0705222	-0.0331381	0.738893	-0.0287631	-0.0135407	-0.0548551
chr1	42299260	42301492	element1131	1	Human	forebrain,midbrain(mesencephalon)	0.284897	0.319262	0.21649	0.162906	-0.037352	-0.018085	-0.00904997	-0.0471282	0.0332216	0.0144924	0.156888	1.35163	0.0171502	-0.0539805	1.72105	-0.0270697	-0.0507544	-0.141393
chr1	42312112	42315388	element1534	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.135329	0.243439	0.396179	0.00848347	-0.0257462	-0.0305577	-0.0573181	-0.0719954	0.790561	0.0354441	-0.0253859	0.574599	-0.0784724	-0.0577734	0.691919	-0.0567594	-0.0713432	-0.0245053
chr1	42422613	42423612	element702	1	Human	forebrain	0.121081	0.118883	0.00978425	-0.0359954	-0.0461766	0.00909126	-0.0504907	-0.0609192	-0.0156309	-0.0342046	-0.042779	-0.000661512	-0.0343368	-0.0351912	-0.0157516	-0.0224588	-0.0334318	-0.0492099
chr1	42595564	42597875	element969	1	Human	forebrain	0.0535479	0.0970001	0.177997	0.068502	-0.0221084	0.0130308	0.0558481	0.0298777	0.692988	0.189758	0.709452	1.20866	1.13877	-0.0372705	0.72939	-0.0279075	-0.0894228	-0.100349
chr1	42747020	42749556	element1553	1	Human	forebrain,midbrain(mesencephalon),neuraltube	0.10561	0.128669	0.537224	0.127426	-0.0319867	-0.0134309	-0.0468173	-0.0374016	0.598511	-0.00416348	0.963238	-0.0494885	1.70269	-0.0665735	0.745079	-0.0661046	-0.0675035	0.00575412
